id,location_x,location_y,start,end,flow_percent,rate_sccm,density kg/m3
1,0.45,0.03,2023-01-27 09:30:10,2023-01-27 09:31:10,1.0,0.1,1.872
2,0.45,0.03,2023-01-27 09:31:10,2023-01-27 09:32:10,2.0,0.2,1.872
3,0.45,0.03,2023-01-27 09:32:10,2023-01-27 09:33:10,5.0,0.5,1.872
4,0.45,0.03,2023-01-27 09:33:10,2023-01-27 09:34:10,10.0,1.0,1.872
5,0.45,0.03,2023-01-27 09:34:10,2023-01-27 09:35:10,15.0,1.5,1.872
6,0.45,0.03,2023-01-27 09:35:10,2023-01-27 10:20:10,20.0,2.0,1.872
7,0.45,0.03,2023-01-27 10:20:10,2023-01-27 10:21:10,15.0,1.5,1.872
8,0.45,0.03,2023-01-27 10:21:10,2023-01-27 10:22:10,10.0,1.0,1.872
9,0.45,0.03,2023-01-27 10:22:10,2023-01-27 10:23:10,5.0,0.5,1.872
10,0.45,0.03,2023-01-27 10:23:10,2023-01-27 10:24:10,2.0,0.2,1.872
11,0.45,0.03,2023-01-27 10:24:10,2023-01-27 10:25:10,1.0,0.1,1.872
12,0.45,0.03,2023-01-27 10:25:10,2023-01-27 10:25:40,1.0,0.1,1.872
13,0.45,0.03,2023-01-27 10:25:40,2023-01-27 10:26:15,2.4,0.24,1.872
14,0.72,0.18,2023-01-27 10:26:15,2023-01-27 10:26:20,1.0,0.1,1.872
15,0.72,0.18,2023-01-27 10:26:20,2023-01-27 10:28:50,2.0,0.2,1.872
16,0.72,0.18,2023-01-27 10:28:50,2023-01-27 10:29:50,1.0,0.1,1.872
17,0.72,0.18,2023-01-27 10:29:50,2023-01-27 10:30:50,2.0,0.2,1.872
18,0.72,0.18,2023-01-27 10:30:50,2023-01-27 10:31:50,5.0,0.5,1.872
19,0.72,0.18,2023-01-27 10:31:50,2023-01-27 10:32:50,10.0,1.0,1.872
20,0.72,0.18,2023-01-27 10:32:50,2023-01-27 10:33:50,15.0,1.5,1.872
21,0.72,0.18,2023-01-27 10:33:50,2023-01-27 11:48:50,20.0,2.0,1.872
22,0.72,0.18,2023-01-27 11:48:50,2023-01-27 11:49:11,15.0,1.5,1.872
23,0.72,0.18,2023-01-27 11:49:11,2023-01-27 11:50:32,10.0,1.0,1.872
24,0.72,0.18,2023-01-27 11:50:32,2023-01-27 11:51:32,5.0,0.5,1.872
25,0.72,0.18,2023-01-27 11:51:32,2023-01-27 11:52:32,2.0,0.2,1.872
26,0.72,0.18,2023-01-27 11:52:32,2023-01-27 11:53:32,1.0,0.1,1.872
27,0.72,0.18,2023-01-27 11:53:32,2023-01-27 11:53:37,0.0,0.0,1.872
