id,location_x,location_y,start,end,flow_percent,rate_sccm,density kg/m3
1,0.45,0.03,2022-11-08 14:24:10,2022-11-08 14:25:10,1.0,0.1,1.872
2,0.45,0.03,2022-11-08 14:25:10,2022-11-08 14:26:10,2.0,0.2,1.872
3,0.45,0.03,2022-11-08 14:26:10,2022-11-08 14:27:10,5.0,0.5,1.872
4,0.45,0.03,2022-11-08 14:27:10,2022-11-08 14:28:10,10.0,1.0,1.872
5,0.45,0.03,2022-11-08 14:28:10,2022-11-08 14:29:10,15.0,1.5,1.872
6,0.45,0.03,2022-11-08 14:29:10,2022-11-08 15:14:10,20.0,2.0,1.872
7,0.45,0.03,2022-11-08 15:14:10,2022-11-08 15:15:10,15.0,1.5,1.872
8,0.45,0.03,2022-11-08 15:15:10,2022-11-08 15:16:10,10.0,1.0,1.872
9,0.45,0.03,2022-11-08 15:16:10,2022-11-08 15:17:10,5.0,0.5,1.872
10,0.45,0.03,2022-11-08 15:17:10,2022-11-08 15:18:10,2.0,0.2,1.872
11,0.45,0.03,2022-11-08 15:18:10,2022-11-08 15:19:10,1.0,0.1,1.872
12,0.45,0.03,2022-11-08 15:19:10,2022-11-08 15:19:40,1.0,0.1,1.872
13,0.45,0.03,2022-11-08 15:19:40,2022-11-08 15:20:15,2.4,0.24,1.872
14,0.72,0.18,2022-11-08 15:20:15,2022-11-08 15:20:20,1.0,0.1,1.872
15,0.72,0.18,2022-11-08 15:20:20,2022-11-08 15:22:50,2.0,0.2,1.872
16,0.72,0.18,2022-11-08 15:22:50,2022-11-08 15:23:50,1.0,0.1,1.872
17,0.72,0.18,2022-11-08 15:23:50,2022-11-08 15:24:50,2.0,0.2,1.872
18,0.72,0.18,2022-11-08 15:24:50,2022-11-08 15:25:50,5.0,0.5,1.872
19,0.72,0.18,2022-11-08 15:25:50,2022-11-08 15:26:50,10.0,1.0,1.872
20,0.72,0.18,2022-11-08 15:26:50,2022-11-08 15:27:50,15.0,1.5,1.872
21,0.72,0.18,2022-11-08 15:27:50,2022-11-08 16:42:50,20.0,2.0,1.872
22,0.72,0.18,2022-11-08 16:42:50,2022-11-08 16:43:11,15.0,1.5,1.872
23,0.72,0.18,2022-11-08 16:43:11,2022-11-08 16:44:32,10.0,1.0,1.872
24,0.72,0.18,2022-11-08 16:44:32,2022-11-08 16:45:32,5.0,0.5,1.872
25,0.72,0.18,2022-11-08 16:45:32,2022-11-08 16:46:32,2.0,0.2,1.872
26,0.72,0.18,2022-11-08 16:46:32,2022-11-08 16:47:32,1.0,0.1,1.872
27,0.72,0.18,2022-11-08 16:47:32,2022-11-08 16:47:37,0.0,0.0,1.872
