id,location_x,location_y,start,end,flow_percent,rate_sccm,density kg/m3
1,0.45,0.03,2023-04-22 12:39:10,2023-04-22 12:40:10,1.0,0.1,1.872
2,0.45,0.03,2023-04-22 12:40:10,2023-04-22 12:41:10,2.0,0.2,1.872
3,0.45,0.03,2023-04-22 12:41:10,2023-04-22 12:42:10,5.0,0.5,1.872
4,0.45,0.03,2023-04-22 12:42:10,2023-04-22 12:43:10,10.0,1.0,1.872
5,0.45,0.03,2023-04-22 12:43:10,2023-04-22 12:44:10,15.0,1.5,1.872
6,0.45,0.03,2023-04-22 12:44:10,2023-04-22 13:29:10,20.0,2.0,1.872
7,0.45,0.03,2023-04-22 13:29:10,2023-04-22 13:30:10,15.0,1.5,1.872
8,0.45,0.03,2023-04-22 13:30:10,2023-04-22 13:31:10,10.0,1.0,1.872
9,0.45,0.03,2023-04-22 13:31:10,2023-04-22 13:32:10,5.0,0.5,1.872
10,0.45,0.03,2023-04-22 13:32:10,2023-04-22 13:33:10,2.0,0.2,1.872
11,0.45,0.03,2023-04-22 13:33:10,2023-04-22 13:34:10,1.0,0.1,1.872
12,0.45,0.03,2023-04-22 13:34:10,2023-04-22 13:34:40,1.0,0.1,1.872
13,0.45,0.03,2023-04-22 13:34:40,2023-04-22 13:35:15,2.4,0.24,1.872
14,0.72,0.18,2023-04-22 13:35:15,2023-04-22 13:35:20,1.0,0.1,1.872
15,0.72,0.18,2023-04-22 13:35:20,2023-04-22 13:37:50,2.0,0.2,1.872
16,0.72,0.18,2023-04-22 13:37:50,2023-04-22 13:38:50,1.0,0.1,1.872
17,0.72,0.18,2023-04-22 13:38:50,2023-04-22 13:39:50,2.0,0.2,1.872
18,0.72,0.18,2023-04-22 13:39:50,2023-04-22 13:40:50,5.0,0.5,1.872
19,0.72,0.18,2023-04-22 13:40:50,2023-04-22 13:41:50,10.0,1.0,1.872
20,0.72,0.18,2023-04-22 13:41:50,2023-04-22 13:42:50,15.0,1.5,1.872
21,0.72,0.18,2023-04-22 13:42:50,2023-04-22 14:57:50,20.0,2.0,1.872
22,0.72,0.18,2023-04-22 14:57:50,2023-04-22 14:58:11,15.0,1.5,1.872
23,0.72,0.18,2023-04-22 14:58:11,2023-04-22 14:59:32,10.0,1.0,1.872
24,0.72,0.18,2023-04-22 14:59:32,2023-04-22 15:00:32,5.0,0.5,1.872
25,0.72,0.18,2023-04-22 15:00:32,2023-04-22 15:01:32,2.0,0.2,1.872
26,0.72,0.18,2023-04-22 15:01:32,2023-04-22 15:02:32,1.0,0.1,1.872
27,0.72,0.18,2023-04-22 15:02:32,2023-04-22 15:02:37,0.0,0.0,1.872
