id,location_x,location_y,start,end,flow_percent,rate_sccm,density kg/m3
1,0.45,0.03,2023-04-25 10:41:10,2023-04-25 10:42:10,1.0,0.1,1.872
2,0.45,0.03,2023-04-25 10:42:10,2023-04-25 10:43:10,2.0,0.2,1.872
3,0.45,0.03,2023-04-25 10:43:10,2023-04-25 10:44:10,5.0,0.5,1.872
4,0.45,0.03,2023-04-25 10:44:10,2023-04-25 10:45:10,10.0,1.0,1.872
5,0.45,0.03,2023-04-25 10:45:10,2023-04-25 10:46:10,15.0,1.5,1.872
6,0.45,0.03,2023-04-25 10:46:10,2023-04-25 11:31:10,20.0,2.0,1.872
7,0.45,0.03,2023-04-25 11:31:10,2023-04-25 11:32:10,15.0,1.5,1.872
8,0.45,0.03,2023-04-25 11:32:10,2023-04-25 11:33:10,10.0,1.0,1.872
9,0.45,0.03,2023-04-25 11:33:10,2023-04-25 11:34:10,5.0,0.5,1.872
10,0.45,0.03,2023-04-25 11:34:10,2023-04-25 11:35:10,2.0,0.2,1.872
11,0.45,0.03,2023-04-25 11:35:10,2023-04-25 11:36:10,1.0,0.1,1.872
12,0.45,0.03,2023-04-25 11:36:10,2023-04-25 11:36:40,1.0,0.1,1.872
13,0.45,0.03,2023-04-25 11:36:40,2023-04-25 11:37:15,2.4,0.24,1.872
14,0.72,0.18,2023-04-25 11:37:15,2023-04-25 11:37:20,1.0,0.1,1.872
15,0.72,0.18,2023-04-25 11:37:20,2023-04-25 11:39:50,2.0,0.2,1.872
16,0.72,0.18,2023-04-25 11:39:50,2023-04-25 11:40:50,1.0,0.1,1.872
17,0.72,0.18,2023-04-25 11:40:50,2023-04-25 11:41:50,2.0,0.2,1.872
18,0.72,0.18,2023-04-25 11:41:50,2023-04-25 11:42:50,5.0,0.5,1.872
19,0.72,0.18,2023-04-25 11:42:50,2023-04-25 11:43:50,10.0,1.0,1.872
20,0.72,0.18,2023-04-25 11:43:50,2023-04-25 11:44:50,15.0,1.5,1.872
21,0.72,0.18,2023-04-25 11:44:50,2023-04-25 12:59:50,20.0,2.0,1.872
22,0.72,0.18,2023-04-25 12:59:50,2023-04-25 13:00:11,15.0,1.5,1.872
23,0.72,0.18,2023-04-25 13:00:11,2023-04-25 13:01:32,10.0,1.0,1.872
24,0.72,0.18,2023-04-25 13:01:32,2023-04-25 13:02:32,5.0,0.5,1.872
25,0.72,0.18,2023-04-25 13:02:32,2023-04-25 13:03:32,2.0,0.2,1.872
26,0.72,0.18,2023-04-25 13:03:32,2023-04-25 13:04:32,1.0,0.1,1.872
27,0.72,0.18,2023-04-25 13:04:32,2023-04-25 13:04:37,0.0,0.0,1.872
