id,location_x,location_y,start,end,flow_percent,rate_sccm,density kg/m3
1,0.45,0.03,2022-11-02 12:10:10,2022-11-02 12:11:10,1.0,0.1,1.872
2,0.45,0.03,2022-11-02 12:11:10,2022-11-02 12:12:10,2.0,0.2,1.872
3,0.45,0.03,2022-11-02 12:12:10,2022-11-02 12:13:10,5.0,0.5,1.872
4,0.45,0.03,2022-11-02 12:13:10,2022-11-02 12:14:10,10.0,1.0,1.872
5,0.45,0.03,2022-11-02 12:14:10,2022-11-02 12:15:10,15.0,1.5,1.872
6,0.45,0.03,2022-11-02 12:15:10,2022-11-02 13:00:10,20.0,2.0,1.872
7,0.45,0.03,2022-11-02 13:00:10,2022-11-02 13:01:10,15.0,1.5,1.872
8,0.45,0.03,2022-11-02 13:01:10,2022-11-02 13:02:10,10.0,1.0,1.872
9,0.45,0.03,2022-11-02 13:02:10,2022-11-02 13:03:10,5.0,0.5,1.872
10,0.45,0.03,2022-11-02 13:03:10,2022-11-02 13:04:10,2.0,0.2,1.872
11,0.45,0.03,2022-11-02 13:04:10,2022-11-02 13:05:10,1.0,0.1,1.872
12,0.45,0.03,2022-11-02 13:05:10,2022-11-02 13:05:40,1.0,0.1,1.872
13,0.45,0.03,2022-11-02 13:05:40,2022-11-02 13:06:15,2.4,0.24,1.872
14,0.72,0.18,2022-11-02 13:06:15,2022-11-02 13:06:20,1.0,0.1,1.872
15,0.72,0.18,2022-11-02 13:06:20,2022-11-02 13:08:50,2.0,0.2,1.872
16,0.72,0.18,2022-11-02 13:08:50,2022-11-02 13:09:50,1.0,0.1,1.872
17,0.72,0.18,2022-11-02 13:09:50,2022-11-02 13:10:50,2.0,0.2,1.872
18,0.72,0.18,2022-11-02 13:10:50,2022-11-02 13:11:50,5.0,0.5,1.872
19,0.72,0.18,2022-11-02 13:11:50,2022-11-02 13:12:50,10.0,1.0,1.872
20,0.72,0.18,2022-11-02 13:12:50,2022-11-02 13:13:50,15.0,1.5,1.872
21,0.72,0.18,2022-11-02 13:13:50,2022-11-02 14:28:50,20.0,2.0,1.872
22,0.72,0.18,2022-11-02 14:28:50,2022-11-02 14:29:11,15.0,1.5,1.872
23,0.72,0.18,2022-11-02 14:29:11,2022-11-02 14:30:32,10.0,1.0,1.872
24,0.72,0.18,2022-11-02 14:30:32,2022-11-02 14:31:32,5.0,0.5,1.872
25,0.72,0.18,2022-11-02 14:31:32,2022-11-02 14:32:32,2.0,0.2,1.872
26,0.72,0.18,2022-11-02 14:32:32,2022-11-02 14:33:32,1.0,0.1,1.872
27,0.72,0.18,2022-11-02 14:33:32,2022-11-02 14:33:37,0.0,0.0,1.872
