id,location_x,location_y,start,end,flow_percent,rate_sccm,density kg/m3
1,0.45,0.03,2022-10-12 12:35:10,2022-10-12 12:36:10,1.0,0.1,1.872
2,0.45,0.03,2022-10-12 12:36:10,2022-10-12 12:37:10,2.0,0.2,1.872
3,0.45,0.03,2022-10-12 12:37:10,2022-10-12 12:38:10,5.0,0.5,1.872
4,0.45,0.03,2022-10-12 12:38:10,2022-10-12 12:39:10,10.0,1.0,1.872
5,0.45,0.03,2022-10-12 12:39:10,2022-10-12 12:40:10,15.0,1.5,1.872
6,0.45,0.03,2022-10-12 12:40:10,2022-10-12 13:25:10,20.0,2.0,1.872
7,0.45,0.03,2022-10-12 13:25:10,2022-10-12 13:26:10,15.0,1.5,1.872
8,0.45,0.03,2022-10-12 13:26:10,2022-10-12 13:27:10,10.0,1.0,1.872
9,0.45,0.03,2022-10-12 13:27:10,2022-10-12 13:28:10,5.0,0.5,1.872
10,0.45,0.03,2022-10-12 13:28:10,2022-10-12 13:29:10,2.0,0.2,1.872
11,0.45,0.03,2022-10-12 13:29:10,2022-10-12 13:30:10,1.0,0.1,1.872
12,0.45,0.03,2022-10-12 13:30:10,2022-10-12 13:30:40,1.0,0.1,1.872
13,0.45,0.03,2022-10-12 13:30:40,2022-10-12 13:31:15,2.4,0.24,1.872
14,0.72,0.18,2022-10-12 13:31:15,2022-10-12 13:31:20,1.0,0.1,1.872
15,0.72,0.18,2022-10-12 13:31:20,2022-10-12 13:33:50,2.0,0.2,1.872
16,0.72,0.18,2022-10-12 13:33:50,2022-10-12 13:34:50,1.0,0.1,1.872
17,0.72,0.18,2022-10-12 13:34:50,2022-10-12 13:35:50,2.0,0.2,1.872
18,0.72,0.18,2022-10-12 13:35:50,2022-10-12 13:36:50,5.0,0.5,1.872
19,0.72,0.18,2022-10-12 13:36:50,2022-10-12 13:37:50,10.0,1.0,1.872
20,0.72,0.18,2022-10-12 13:37:50,2022-10-12 13:38:50,15.0,1.5,1.872
21,0.72,0.18,2022-10-12 13:38:50,2022-10-12 14:53:50,20.0,2.0,1.872
22,0.72,0.18,2022-10-12 14:53:50,2022-10-12 14:54:11,15.0,1.5,1.872
23,0.72,0.18,2022-10-12 14:54:11,2022-10-12 14:55:32,10.0,1.0,1.872
24,0.72,0.18,2022-10-12 14:55:32,2022-10-12 14:56:32,5.0,0.5,1.872
25,0.72,0.18,2022-10-12 14:56:32,2022-10-12 14:57:32,2.0,0.2,1.872
26,0.72,0.18,2022-10-12 14:57:32,2022-10-12 14:58:32,1.0,0.1,1.872
27,0.72,0.18,2022-10-12 14:58:32,2022-10-12 14:58:37,0.0,0.0,1.872
