datetime,pressure_bar,temperature_celsius,pressure_gradient_bar,temperature_gradient_celsius
2023-01-23 10:47:10,1.019158,23.0,0.0,0.0
2023-03-25 10:47:10,1.019158,23.0,0.0,0.0
